No errors
This data source has been renamed to 'aircraftreports' and will not be available in the next release of the dataserver; 
36 ms
data source=pireps
802 results
receipt_time,observation_time,mid_point_assumed,no_time_stamp,flt_lvl_range,above_ground_level_indicated,no_flt_lvl,bad_location,aircraft_ref,latitude,longitude,altitude_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,visibility_statute_mi,wx_string,temp_c,wind_dir_degrees,wind_speed_kt,vert_gust_kt,report_type,raw_text
2020-02-02T02:49:34Z,2020-02-02T02:49:00Z,,,,,,,FDX97,59.5667,-45.35,32000,,,,,,,,,,,,,,,,,,,,,,,,,,,-49,272,42,,AIREP,ARP FDX97 5934N04521W 0249 F320 5900N05000W 0309 AVUTI MS49 272/42 KT N607FE DDL UAK 020249 F80A ,
2020-02-02T02:49:54Z,2020-02-02T02:49:00Z,,,,,,,FDX3,57.1,-34.0667,32000,,,,,,,,,,,,,,,,,,,,,,,,,,,-47,245,37,,AIREP,ARP FDX3 5706N03404W 0249 F320 5700N04000W 0315 5700N05000W MS47 245/37 KT N868FD QXT AME 020249 F75A ,
2020-02-02T02:49:23Z,2020-02-02T02:49:00Z,,,,,,,CLX47S,56.0333,-49.9667,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-49,276,46,,AIREP,ARP CLX47S 5602N04958W 0249 F340 5602N05001W 0249 5404N05702W MS49 276/46 KT LXVCJ QXT AME 020249 F84A ,
2020-02-02T02:50:03Z,2020-02-02T02:49:00Z,,,,,,,DAL258,51.3,-48.7167,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-51,275,48,,AIREP,ARP DAL258 5118N04843W 0249 F370 5259N04000W 0330 5259N03000W MS51 275/48 KT N802NW DDL YAY 020249 J18A ,
2020-02-02T02:50:03Z,2020-02-02T02:49:00Z,,,,,,,BAW9E,50.95,-40.2333,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,-46,282,25,,AIREP,ARP BAW9E 5057N04014W 0249 F400 5100N04000W 0250 5059N03000W MS46 282/25 KT GVIIC QXT AME 020249 F48A ,
2020-02-02T02:49:55Z,2020-02-02T02:49:00Z,,,,,,,AFR351,49.2833,-54.9833,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-52,271,53,,AIREP,ARP AFR351 4917N05459W 0249 F390 5000N05000W 0311 5200N04000W MS52 271/53 KT FHTYC QXS YDF 020249 J53A ,
2020-02-02T02:49:52Z,2020-02-02T02:49:00Z,,,,,,,DAL80,48.6,-51.6833,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-57,278,76,,AIREP,ARP DAL80 4836N05141W 0249 F340 4900N05000W 0257 5100N04000W MS57 278/76 KT N844MH QXS YYT 020249 F67A ,
2020-02-02T02:49:52Z,2020-02-02T02:49:00Z,,,,,,,ACA808,47.5833,-54.9167,31000,,,,,,,,,,,,,,,,,,,,,,,,,,,-53,271,120,,AIREP,ARP ACA808 4735N05455W 0249 F310 4751N05204W 0301 4800N05000W MS53 271/120 KT CGFAH DDL YQX 020249 J18A ,
2020-02-02T02:49:19Z,2020-02-02T02:48:00Z,,,,,,,SAS946,61.0333,-39.6667,41000,,,,,,,,,,,,,,,,,,,,,,,,,,,-43,271,21,,AIREP,ARP SAS946 6102N 03940W 0248 F410 M43 271/21 6159N 03000W 0322 6259N 02000W KT LNRKR DDL KUS 020248 J87A,
2020-02-02T02:48:47Z,2020-02-02T02:48:00Z,,,,,,,AMX022,58.8333,-41.2167,32000,,,,,,,,,,,,,,,,,,,,,,,,,,,-47,283,39,,AIREP,ARP AMX022 5850N04113W 0248 F320 5701N05001W 0328 HOIST MS47 283/39 KT N438AM DDL UAK 020248 L90A ,
2020-02-02T02:48:40Z,2020-02-02T02:48:00Z,,,,,,,AFR345,53.0833,-32.65,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-44,240,37,,AIREP,ARP AFR345 5305N03239W 0248 F360 5300N03000W 0259 5400N02000W MS44 240/37 KT FGSPP QXT AOE 020248 F37A ,
2020-02-02T02:49:19Z,2020-02-02T02:48:00Z,,,,,,,AUA74,51.9,-40.6333,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-56,290,35,,AIREP,ARP AUA74 5154N 04038W 0248 F350 M56 290/35 5200N 04000W 0251 5200N 03000W KT OELAX DDL XXN 020248 F25A,
2020-02-02T02:48:33Z,2020-02-02T02:48:00Z,,,,,,,AFR007,51.5,-43.0667,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-50,282,43,,AIREP,ARP AFR007 5130N04304W 0248 F370 5200N04000W 0301 5200N03000W MS50 282/43 KT FGZNB QXT AME 020248 F30A ,
2020-02-02T02:48:40Z,2020-02-02T02:48:00Z,,,,,,,AUA90,51.0667,-31.8167,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-45,233,39,,AIREP,ARP AUA90 5104N03149W 0248 F350 5100N03000W 0256 5200N02000W MS45 233/39 KT OELAT DDL XXN 020248 F82A ,
2020-02-02T02:49:19Z,2020-02-02T02:48:00Z,,,,,,,AFL103,50.7167,-57.0833,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,-52,255,68,,AIREP,ARP AFL103 5043N 05705W 0248 F330 M52 255/68 RIKAL 0301 5300N 05000W KT VPBPG DDL YIF 020248 F17A,
